Place,latitude,longitude,name,desc
Kamchatka,56.1327377,159.5314398,Kamchatka,Kamchatka Peninsula Kamchatka Krai Russia 684405
Kamchatka Peninsula,56.1327377,159.5314398,Kamchatka Peninsula,Kamchatka Peninsula Kamchatka Krai Russia 684405
Kamchatka Sea,56.1327377,159.5314398,Kamchatka Sea,Kamchatka Peninsula Kamchatka Krai Russia 684405
Kanagawa Harobor,35.4956645,139.7568528,Kanagawa Harobor,80 Higashiogishima Kawasaki Ward Kawasaki Kanagawa Prefecture 210-0869 Japan
Kayes Island,43.8045172,-66.077983,Kayes Island,Kayes Island Yarmouth NS B0W Canada
Keyes Island,43.8045172,-66.077983,Kayes Island,Kayes Island Yarmouth NS B0W Canada
Ki Isle,-4.4531479,-171.2449677,Ki Isle,Phoenix Islands Kiribati
King George Island,-61.988194,-58.0196041,King George Island,King George Island Antarctica
King George’s Island,-61.988194,-58.0196041,King George’s Island,King George Island Antarctica
King George’s Sound,-35.0458333,117.9733333,King George’s Sound,King George Sound Western Australia Australia
Kings Island,-14.096,144.333,Kings Island,Kings Island Dr Queensland Australia
King’s Island,-14.096,144.333,King’s Island,Kings Island Dr Queensland Australia
Kodiak Island,57.4912463,-153.495022,Kodiak Island,Kodiak Island Alaska USA
Korea,35.907757,127.766922,Korea,South Korea
Ladrone Islands,16.616667,145.616667,Ladrone Islands,Mariana Islands CNMI
Lagelia(?) Bay,,,,
Lahaina,20.8783333,-156.6825,Lahaina,Lahaina HI USA
Leguam Island,6.9316746,-58.4059227,Leguam Island,Leguan Island Guyana
Leschenault,-33.245,115.735,Leschenault,Leschenault WA 6233 Australia
Long Island,,,,
Loo Choo Islands,,,,
Loochow Island,,,,
Macauley Island,-30.2332381,-178.428272,Macauley Island,Macauley Island New Zealand
Madagascar,-18.766947,46.869107,Madagascar,Madagascar
Magdalena Bay,24.583333,-112,Magdalena Bay,Magdalena Bay Baja California Sur Mexico
Magdalena Harbor,11.2416507,-74.2175657,Magdalena Harbor,Santa Marta Magdalena Colombia
Magdalena Island,-52.9191848,-70.5776945,Magdalena Island,Magdalena Island Magallanes y la Antártica Chilena Region Chile
Makanrushi Island,49.7741667,154.4386111,Makanrushi Island,Makanrushi Sakhalin Oblast Russia 694550
Mangaia Island,-21.9352313,-157.9165934,Mangaia Island,Mangaia Cook Islands
Marcon Island,25.9397412,-81.7075355,Marcon Island,Marco Island FL 34145 USA
Marcus Bay,44.4845464,-88.0621855,Marcus Bay,Bay Park Square 755 Willard Dr Ashwaubenon WI 54304 United States
Maria Island,-42.6451462,148.0649697,Maria Island,Maria Island Tasmania 7190 Australia
Maria Islands,-42.6451462,148.0649697,Maria Islands,Maria Island Tasmania 7190 Australia
Marquesas Island,-9.7812162,-139.0817124,Marquesas Island,Marquesas Islands French Polynesia
Marquesas Islands,-9.7812162,-139.0817124,Marquesas Islands,Marquesas Islands French Polynesia
Martin Vas Rocks,,,,
Masafuera,-33.7760908,-80.7990185,Masafuera,Isla Alejandro Selkirk Juan Fernández Región de Valparaíso Chile
Masafuero,-33.7760908,-80.7990185,Masafuero,Isla Alejandro Selkirk Juan Fernández Región de Valparaíso Chile
Matalata(?) Islands,48.1,153.2,Matua,Matua
Mataua,48.1,153.2,Matua,Matua
Maui,20.7983626,-156.3319253,Maui,Maui Hawaii USA
Maujiers (Society Islands),-17.533333,-149.833333,Mo'orea,Mo'orea
May Island,,,,
Mayo,,,,
Mercury Bay,-36.8081855,175.7410262,Mercury Bay,Mercury Bay New Zealand
Merican(?) Island,,,,
Michael’s Island,,,,
Mocha,,,,
Molokoi,21.1443935,-157.0226297,Molokoi,Moloka‘i Hawaii USA
Molokui,21.1443935,-157.0226297,Molokui,Moloka‘i Hawaii USA
Mongamee Harbor,,,,
Mongami Harbor,,,,
